input,output
Which chapter in the Moroccan customs tariff classification does the HS code HS:2933310000 belong to?,Chapter 29: Organic Chemicals
What type of compounds are represented by the HS code HS:2933310000 in the Moroccan customs tariff classification?,"Pyridine and its salts, which may or may not be included in Heterocyclic Compounds with heteroatom(s) consisting exclusively of Nitrogen. These are compounds whose structure includes a non-condensed pyrazole ring (whether hydrogenated or not)."
What is the first level of classification for Pyridine and its salts in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What type of compound does the HS code HS:2933320000 pertain to in Moroccan Customs Tariff?,"Piperidine and its salts, which may or may not be classified as Heterocyclic Compounds with nitrogen heteroatom(s) exclusively, and compounds that have a non-condensed pyrazole ring (whether hydrogenated or not) in their structure"
In which chapter of the Moroccan Customs Tariff does the HS code HS:2933320000 fall under?,Chapter 29: Organic Chemicals
What is the first level of classification for Piperidine and its salts in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
Which subcategory of organic chemicals does the HS code HS:2933320000 fall under in Moroccan Customs Tariff?,Piperidine and its salts - Heading 2933
What substance does the HS code HS:2933331000 correspond to in Moroccan Customs?,Alfentanil (DCI) and its salts
Which chapter in the Moroccan Customs does the HS code HS:2933331000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933331000 in Moroccan Customs?,Alfentanil (DCI) and its salts
Does the HS code HS:2933331000 correspond to heterocyclic compounds with nitrogen atom(s) exclusively?,"No, it does not. The HS code HS:2933331000 corresponds to alfentanil (DCI) and its salts, which may or may not be part of heterocyclic compounds with nitrogen atom(s) exclusively."
What product does the HS code HS:2933331200 correspond to in Morocco's customs tariff?,Anileridine (DCI) and its salts
Which chapter in the customs tariff classification does the HS code HS:2933331200 belong to in Morocco's customs tariff?,Chapter 29: Organic Chemicals
What type of organic compounds does the HS code HS:2933331200 represent in Morocco's customs tariff?,Anileridine (DCI) and its salts
What is the first level of classification for anileridine (DCI) and its salts in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Bezitramide (DCI) and its salts that may or may not be classified as Heterocyclic Compounds with Nitrogen Heteroatoms(s) only, consisting of a pyrazole ring (whether hydrogenated or not) that is non-condensed?",HS:2933331000
Which chapter in the Moroccan Customs Tariff does the HS code HS:2933331000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933331000 in Moroccan Customs Tariff?,"Bezitramide (DCI) and its salts that may or may not be classified as Heterocyclic Compounds with Nitrogen Heteroatoms(s) only, consisting of a pyrazole ring (whether hydrogenated or not) that is non-condensed"
"What is the first level of classification for Bezitramide (DCI) and its salts that may or may not be classified as Heterocyclic Compounds with Nitrogen Heteroatoms(s) only, consisting of a pyrazole ring (whether hydrogenated or not) that is non-condensed in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for bromazepam and its salts that are heterocyclic compounds with nitrogen atom(s) only and specifically those that have a non-condensed pyrazole ring in Morocco's customs tariff?,HS:2933331400
Which chapter in the customs tariff classification does the HS code 2933331400 belong to in Morocco's customs tariff?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code 2933331400 in Morocco's customs tariff?,Bromazepam and its salts that are heterocyclic compounds with nitrogen atom(s) only and specifically those that have a non-condensed pyrazole ring in their structure
What is the first level of classification for bromazepam and its salts that are heterocyclic compounds with nitrogen atom(s) only and specifically those that have a non-condensed pyrazole ring in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
"What specific HS code is assigned to Carfentanil and its salts, which may or may not be classified as Heterocyclic Compounds containing Nitrogen atom(s) only, specifically those with a non-condensed pyrazole ring (whether hydrogenated or not)?",HS:2933331500
In which chapter of the Moroccan Customs Tariff does the HS code HS:2933331500 fall under?,Chapter 29: Organic Chemicals
What kind of organic chemicals are represented by the HS code HS:2933331500 in customs tariff classification?,"Carfentanil and its salts, which may or may not be classified as Heterocyclic Compounds containing Nitrogen atom(s) only, specifically those with a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for Carfentanil and its salts in customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for cetobemidone and its salts, which may or may not be included in the category of heterocyclic compounds with nitrogen atom(s) only, composed of structures that include a non-condensed pyrazole ring (whether hydrogenated or not)?",HS:2933331600
In which chapter of the Moroccan customs tariff is the HS code 2933331600 located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2933331600 represent in customs tariff classification?,"Cetobemidone and its salts, which may or may not be included in the category of heterocyclic compounds with nitrogen atom(s) only, composed of structures that include a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for cetobemidone and its salts in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Difénoxin (DCI) and its salts in Moroccan customs?,HS:2933331700
Which chapter does the HS code 2933331700 belong to in Moroccan customs?,Chapter 29: Organic Chemicals
What type of compounds are represented by the HS code 2933331700 in Moroccan customs?,"Difénoxin (DCI) and its salts, which may or may not be classified as Heterocyclic Compounds containing one or more Nitrogen heteroatoms exclusively, and with a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for Difénoxin (DCI) and its salts in Moroccan customs?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2933331800 refer to in Moroccan customs?,"Diphenoxylate (active ingredient) and its salts, which may or may not be part of the Heterocyclic compounds with nitrogen heteroatom(s) only, consisting of a non-condensed pyrazole ring (whether hydrogenated or not), located in Chapter 29: Organic Chemicals"
Which chapter in the Moroccan customs tariff classification does the HS code HS:2933331800 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933331800 in Moroccan customs tariff classification?,"Diphenoxylate (active ingredient) and its salts, which may or may not be part of the Heterocyclic compounds with nitrogen heteroatom(s) only, consisting of a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for diphenoxylate (active ingredient) and its salts in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Dipipanone (active ingredient) and its salts that may or may not be classified as Heterocyclic Compounds containing Nitrogen heteroatoms exclusively, and more specifically, those that have a pyrazole ring (whether hydrogenated or not) that is non-condensed in Moroccan Customs Tariff?",HS:2933331900
Which chapter does the HS code HS:2933331900 belong to in Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What type of compounds does the HS code HS:2933331900 represent in Moroccan Customs Tariff?,"Dipipanone (active ingredient) and its salts that may or may not be classified as Heterocyclic Compounds containing Nitrogen heteroatoms exclusively, and more specifically, those that have a pyrazole ring (whether hydrogenated or not) that is non-condensed"
"What is the first level of classification for Dipipanone (active ingredient) and its salts that may or may not be classified as Heterocyclic Compounds containing Nitrogen heteroatoms exclusively, and more specifically, those that have a pyrazole ring (whether hydrogenated or not) that is non-condensed in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the HS code for fentanyl, methylphenidate, pentazocine, pethidine, pethidine intermediate A, phencyclidine (PCP), phenoperidine, pipradrol, piritramide, and propiram in Moroccan customs tariff?",HS:2933332000
Which chapter does the HS code HS:2933332000 belong to in Moroccan customs tariff?,Chapter 29: Organic chemicals
What substances and their salts are included in the HS code HS:2933332000?,"Fentanyl, methylphenidate, pentazocine, pethidine, pethidine intermediate A, phencyclidine (PCP), phenoperidine, pipradrol, piritramide, and propiram"
Does the HS code HS:2933332000 include heterocyclic compounds with nitrogen atoms exclusively?,"No, it does not"
What specific chemical compound does the HS code HS:2933333100 refer to in the Moroccan Customs Tariff?,"Methylphenidate (DCI) and its salts, which may or may not be classified as heterocyclic compounds with one or more nitrogen heteroatoms, and specifically those that have a non-condensed pyrazole ring (whether hydrogenated or not)."
In which chapter of the Moroccan Customs Tariff is the HS code HS:2933333100 found?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933333100 in the Moroccan Customs Tariff?,"Heterocyclic compounds with one or more nitrogen heteroatoms, specifically those that have a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for methylphenidate and its salts in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What specific HS code is assigned to pentazocine and its salts that may or may not be included in the category of heterocyclic compounds with nitrogen atom(s) only, specifically those that have a non-condensed pyrazole ring (whether hydrogenated or not)?",HS:2933333200
