question,agent1,agent2,agent3,final_answer
Which chapter in the Moroccan customs tariff classification does the HS code 2922190011 belong to?,(HScodeFinder) The HS code 2922190011 is identified as belonging to the category of organic chemicals.,"(ChapterClassifier) The HS code 2922190011 is classified under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Chapter 29 of the Moroccan customs tariff classification includes a wide range of organic chemical products.,Chapter 29: Organic chemicals
What type of organic chemicals are represented by the HS code 2922190011 in Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2922190011 is classified under the category of organic chemicals, specifically amines with oxygenated functions, including aminoalcohols.","(ChapterClassifier) The HS code 2922190011 falls under Chapter 29, which covers organic chemicals, except those of the inorganic chemical group, and specifically under Heading 2922, which includes amines and related compounds.","(ProductIdentifier) The HS code 2922190011 refers to aminoalcohols, which are organic compounds containing both amino and hydroxyl groups, commonly used in pharmaceuticals and chemical manufacturing.","Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products"
"What is the first level of classification for N,N-dimethyl-2-aminoethanol and its protonated salts in Moroccan customs tariff?","(HScodeFinder) The HS code for N,N-dimethyl-2-aminoethanol and its protonated salts is 2901100000.","(ChapterClassifier) The first level of classification for N,N-dimethyl-2-aminoethanol and its protonated salts is Chapter 29, which includes organic chemicals.","(ProductIdentifier) N,N-dimethyl-2-aminoethanol is classified under Chapter 29 of the Moroccan customs tariff, which covers organic chemicals.",29 - Chapter 29: Organic chemicals
What specific product does the HS code HS:2922190012 represent in Moroccan customs?,"(HScodeFinder) The HS code HS:2922190012 is classified under the chapter for organic chemicals, specifically for compounds containing nitrogen.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals, and subheading 2922190012 is for compounds containing nitrogen, such as N,N-Diethylaminoethanol.","(ProductIdentifier) The product identified by HS code HS:2922190012 is N,N-Diethylaminoethanol and its protonated salts, which are used in various chemical applications.","N,N-Diethylaminoethanol and its protonated salts"
Which chapter in the Moroccan customs tariff classification does the HS code HS:2922190012 belong to?,"(HScodeFinder) The HS code HS:2922190012 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff classification is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The HS code HS:2922190012 falls under Chapter 29, which covers organic chemicals in the Moroccan customs tariff classification.",Chapter 29: Organic chemicals
What type of amines does the HS code HS:2922190012 represent in Moroccan customs tariff classification?,"(HScodeFinder) The HS code HS:2922190012 is classified under the category of amines with oxygenated functions, specifically aminoalcohols, which are not containing more than one type of oxygenated function, their ethers and esters, and salts of these products.","(ChapterClassifier) The HS code HS:2922190012 falls under Chapter 29, which includes organic chemicals containing nitrogen, such as amines and their derivatives.","(ProductIdentifier) The HS code HS:2922190012 represents amines with oxygenated functions, specifically aminoalcohols, which are used in various industrial applications and are classified under the Moroccan customs tariff as described.","Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products"
"Is the HS code HS:2922190012 included in the category of Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products in Moroccan customs?","(HScodeFinder) The HS code HS:2922190012 is classified under the category of Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products in Moroccan customs.","(ChapterClassifier) The HS code HS:2922190012 falls within Chapter 29, which includes Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products.","(ProductIdentifier) The product identified by HS:2922190012 is an Aminoalcohol, specifically a compound with a single oxygenated function, fitting the description of Amines with oxygenated functions - Aminoalcohols in Moroccan customs.",Yes
What is the specific HS code for Aminonaphtolsulfonic acids and their salts?,(HScodeFinder) The HS code for Aminonaphtolsulfonic acids and their salts is HS:2922210000.,"(ChapterClassifier) The HS code HS:2922210000 falls under Chapter 29, which covers Organic chemicals.",(ProductIdentifier) Aminonaphtolsulfonic acids and their salts are classified as organic chemicals in Chapter 29.,HS:2922210000
In which chapter of the Moroccan customs tariff classification are Aminonaphtolsulfonic acids and their salts found?,(HScodeFinder) The HS code for Aminonaphtolsulfonic acids and their salts is 2901100000.,(ChapterClassifier) The HS code 2901100000 falls under Chapter 29 of the Moroccan customs tariff classification.,(ProductIdentifier) Aminonaphtolsulfonic acids and their salts are classified under Chapter 29 of the Moroccan customs tariff classification.,Chapter 29: Organic Chemicals
"What type of compounds do Aminonaphtolsulfonic acids and their salts belong to in the category of Oxyfunctional Amino Compounds, Aminoalcohols, and their ethers and esters?",(HScodeFinder) The HS code for Aminonaphtolsulfonic acids and their salts is not directly applicable as the question is about chemical classification rather than HS code lookup.,"(ChapterClassifier) The category 'Oxyfunctional Amino Compounds, Aminoalcohols, and their ethers and esters' falls under Chapter 29, which includes organic chemicals.",(ProductIdentifier) Aminonaphtolsulfonic acids and their salts are identified as specific compounds within the broader category of oxyfunctional amino compounds.,Aminonaphtolsulfonic acids and their salts
What is the first level of classification for Aminonaphtolsulfonic acids and their salts in customs tariff?,(HScodeFinder) The HS code for Aminonaphtolsulfonic acids and their salts is 2901100000.,"(ChapterClassifier) The first level of classification for Aminonaphtolsulfonic acids and their salts is Chapter 29, which includes organic chemicals.","(ProductIdentifier) Aminonaphtolsulfonic acids and their salts are classified under Chapter 29 of the customs tariff, covering organic chemicals.",29 - Chapter 29: Organic Chemicals
What product category does the HS code HS:2922291000 represent in Moroccan customs?,"(HScodeFinder) The HS code HS:2922291000 is classified under the category of organic chemicals, specifically aminoalcohols and their derivatives.","(ChapterClassifier) The HS code HS:2922291000 falls under Chapter 29, which covers organic chemicals, including aminoalcohols and their salts.","(ProductIdentifier) The product category represented by HS:2922291100 includes compounds such as anisidines, dianisidines, phenetidines, and their salts, as well as aminoalcohols and their ethers and esters.","Anisidines, dianisidines, phenetidines, and their salts; Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters"
